J1035-6345     0.579577  3.50e-16     8.200      0.24      189.70    158.762833    -63.755114    288.528     -4.765  *         
J1038+0032     0.028852  6.70e-20     2.100      0.20       26.59    159.612221      0.545444    247.152     48.471  *         
J1038-5831     0.661992  1.25e-15    16.000      0.79       72.74    159.582083    -58.524217    286.284     -0.023  *         
J1041-1942     1.386368  9.45e-16    61.800      4.00       33.78    160.400817    -19.703781    265.591     33.590  *         
J1042-5521     1.170859  6.73e-15    25.000      0.62      306.50    160.502542    -55.351528    285.192      2.999  *         
J1043-6116     0.288602  1.04e-14     7.000      0.91      449.20    160.980375    -61.280778    288.221     -2.106  *         
J1045-4509     0.007474  1.77e-20     0.840      2.70       58.17    161.459123    -45.165040    280.851     12.254  T2        
J1046+0304     0.326271  1.24e-16    23.000      0.30       25.30    161.680125      3.068583    246.412     51.697  *         
J1046-5813     0.369427  1.14e-15     9.100      1.10      240.20    161.578625    -58.231056    287.065      0.733  *         
J1047-3032     0.330328  6.10e-17    16.000      0.18       52.54    161.753390    -30.538334    273.495     25.127  *         
J1047-6709     0.198451  1.69e-15     9.000      4.00      116.16    161.867842    -67.164185    291.314     -7.132  *         
J1048-5832     0.123671  9.63e-14     5.600      6.50      129.10    162.050833    -58.534944    287.425      0.577  *         
J1049-5833     2.202325  4.41e-15    33.000      0.72      446.80    162.459750    -58.562389    287.628      0.649  *         
J1052-5954     0.180592  2.00e-14    11.000      0.15      491.00    163.158792    -59.912250    288.549     -0.400  *         
J1052-6348     0.383830  3.87e-16    10.000      0.11      167.50    163.222458    -63.804611    290.294     -3.881  *         
J1054-5943     0.346909  4.07e-15     4.800      0.31      330.70    163.740625    -59.720583    288.729     -0.100  *         
J1054-6452     1.840004  3.14e-15    22.000      0.25      234.00    163.536833    -64.877083    290.889     -4.784  *         
J1055-6022     0.947558  9.24e-14    23.000      0.16      590.00    163.952083    -60.381111    289.109     -0.650  *         
J1055-6028     0.099661  2.95e-14     6.000      0.78      635.90    163.913292    -60.477083    289.133     -0.745  *         
J1055-6236     0.448635  7.08e-16     7.300      0.12      149.70    163.977542    -62.613417    290.081     -2.660  *         
J1056-5709     0.676082  5.76e-16    16.000      0.11      436.50    164.182458    -57.159583    287.835      2.311  *         
J1056-6258     0.422447  3.58e-15    20.000     21.00      320.30    164.106458    -62.979889    290.292     -2.966  *         
J1056-7117     0.026310  6.30e-20     5.000      0.34       93.04    164.191583    -71.298165    293.933    -10.458  ELL1      
J1058-5957     0.616270  6.57e-16    16.000      0.51      334.00    164.642708    -59.960111    289.241     -0.123  *         
J1059-5742     1.184999  4.30e-15    18.000      1.20      108.70    164.753750    -57.703944    288.345      1.948  *         
J1103-5403     0.003393  3.68e-21     0.140      0.18      103.92    165.888725    -54.062013    287.421      5.529  *         
J1103-6025     0.396587  9.90e-16     5.500      0.17      275.90    165.881167    -60.426775    289.994     -0.294  *         
J1104-6103     0.280905  1.97e-15     4.900      0.24       78.51    166.071925    -61.051078    290.331     -0.828  *         
J1105-6107     0.063193  1.58e-14     4.800      0.75      271.01    166.359042    -61.130944    290.490     -0.846  *         
J1106-6438     2.717934  2.33e-15    27.000      0.19      203.00    166.618500    -64.650000    291.992     -4.031  *         
J1107-5907     0.252773  9.01e-18     9.300      0.18       40.20    166.893583    -59.121861    289.944      1.106  *         
J1107-5947     1.516531  3.40e-16    45.000      0.43      158.40    166.994583    -59.784444    290.249      0.515  *         
J1107-6143     1.799396  1.56e-13    26.000      0.38      406.00    166.801250    -61.733056    290.921     -1.316  *         
J1110-5637     0.558253  2.06e-15    22.000      1.80      262.56    167.501667    -56.625806    289.279      3.533  *         
J1112-6103     0.064962  3.15e-14    11.000      1.40      599.10    168.061708    -61.058639    291.221     -0.462  *         
J1112-6613     0.334213  8.24e-16    15.000      2.60      249.30    168.160542    -66.218000    293.190     -5.233  *         
J1114-6100     0.880820  4.61e-14    29.000      2.00      677.00    168.593833    -61.009500    291.443     -0.322  *         
J1115-6052     0.259777  7.23e-15     5.400      0.38      228.20    168.973667    -60.871611    291.564     -0.126  *         
J1116-4122     0.943158  7.95e-15    14.000      3.00       40.53    169.179525    -41.378878    284.451     18.069  *         
J1117-6154     0.505097  1.25e-14     8.900      0.68      493.60    169.349208    -61.906111    292.102     -1.028  *         
J1117-6447     1.155272  2.40e-16    61.000      0.14      303.00    169.437500    -64.799444    293.167     -3.719  *         
J1119-6127     0.407963  4.02e-12    24.000      0.80      707.40    169.809583    -61.463750    292.151     -0.537  *         
J1121-5444     0.535783  2.77e-15    21.000      1.30      204.70    170.329954    -54.734861    290.083      5.873  *         
J1123-6102     0.640234  6.46e-15    10.000      0.53      439.40    170.923750    -61.035056    292.509      0.049  *         
J1123-6259     0.271434  5.25e-15     6.600      0.56      223.26    170.981454    -62.986317    293.183     -1.783  *         
J1123-6651     0.232976  2.75e-15    16.000      0.36      111.20    170.967542    -66.863631    294.469     -5.442  *         
J1124-5638     0.185560  9.00e-18    15.000      0.31      289.50    171.235292    -56.644361    291.209      4.246  *         
J1124-6421     0.479099  6.20e-16    13.000      0.19      298.00    171.247917    -64.354722    293.747     -3.036  *         
J1125-5825     0.003102  6.09e-20     0.310      0.86      124.79    171.434857    -58.421356    291.893      2.602  DD        
J1125-6014     0.002630  4.01e-21     0.210      0.05       52.95    171.480075    -60.235169    292.504      0.894  ELL1      
J1126-6054     0.202737  2.81e-16     5.100      1.00      280.27    171.719200    -60.911100    292.834      0.292  *         
J1128-6219     0.515984  1.10e-17    93.000      0.27      675.00    172.194583    -62.319167    293.495     -0.972  *         
J1130-5826     0.162323  1.59e-17     4.000      0.18      261.10    172.568042    -58.433972    292.460      2.778  *         
J1130-5925     0.680984  9.52e-16    16.000      0.12      264.40    172.543500    -59.426139    292.755      1.830  *         
J1132-5627     0.175166  6.80e-17     4.900      0.09      305.70    173.065583    -56.458028    292.110      4.741  *         
J1133-6250     1.022875  4.52e-16   255.000      2.90      567.80    173.464375    -62.847389    294.213     -1.296  *         
J1136+1551     1.187913  3.73e-15    31.700     32.00        4.85    174.013532     15.851244    241.902     69.195  *         
J1136-5525     0.364706  8.22e-15    15.000      4.00       85.50    174.009042    -55.418972    292.308      5.890  *         
J1137-6700     0.556216  7.17e-17    89.000      1.20      228.04    174.383704    -67.009169    295.793     -5.167  *         
J1138-6207     0.117564  1.25e-14    12.000      0.49      519.80    174.590083    -62.133139    294.506     -0.463  *         
J1141-3322     0.291468  4.63e-16     4.800      1.00       46.45    175.428173    -33.377059    286.586     27.272  *         
J1141-6545     0.393899  4.31e-15     4.400      3.30      116.08    175.279225    -65.755309    295.791     -3.863  DDGR      
J1142-6230     0.558383  7.79e-17    30.000      0.26      343.80    175.718750    -62.501083    295.110     -0.675  *         
J1143-5158     0.675646  6.95e-16     8.000      0.30      159.03    175.812771    -51.977747    292.383      9.492  *         
J1144-6146     0.987783  -3.81e-17    33.000      0.45       78.70    176.145000    -61.780278    295.116      0.073  *         
J1144-6217     0.850665  3.08e-14    10.000      0.20      284.70    176.008792    -62.291750    295.186     -0.438  *         
J1146-6030     0.273372  1.79e-15    11.000      3.60      111.68    176.532250    -60.516500    294.977      1.343  *         
J1148-5725     3.559937  1.11e-14    53.000      0.12      174.00    177.118875    -57.420167    294.507      4.418  *         
J1148-6415     3.241029  2.70e-15    37.000      0.06      241.00    177.157500    -64.259167    296.177     -2.214  *         
